Time,X_axis,Y_axis,Z_axis,W_axis
2023-08-03 17:28,0.02100087,0.02992232,-0.005116884,0.9993185
2023-08-03 17:28,0.02099727,0.02991014,-0.005154394,0.9993187
2023-08-03 17:28,0.02101123,0.02992685,-0.00514616,0.999318
2023-08-03 17:28,0.02099969,0.02991343,-0.005101732,0.9993189
2023-08-03 17:28,0.02102527,0.02990578,-0.005127386,0.9993184
2023-08-03 17:28,0.02104864,0.02985996,-0.00513006,0.9993193
2023-08-03 17:29,0.02099139,0.02991717,-0.005080336,0.9993191
2023-08-03 17:29,0.02097393,0.02989378,-0.005093174,0.9993201
2023-08-03 17:29,0.02094599,0.02996309,-0.005146362,0.9993182
2023-08-03 17:29,0.02096649,0.0299702,-0.005136903,0.9993176
2023-08-03 17:29,0.02096024,0.03001084,-0.005117064,0.9993166
2023-08-03 17:29,0.02101265,0.02996416,-0.00509744,0.9993172
2023-08-03 17:30,0.02102132,0.02993819,-0.005134271,0.9993175
2023-08-03 17:30,0.02106252,0.02993428,-0.005135344,0.9993168
2023-08-03 17:30,0.02096173,0.03000203,-0.005126473,0.9993169
2023-08-03 17:30,0.02098622,0.0299465,-0.005117477,0.9993181
2023-08-03 17:30,0.02098492,0.02994155,-0.005128429,0.9993182
2023-08-03 17:30,0.02100865,0.02997323,-0.00511402,0.9993168
2023-08-03 17:31,0.02101994,0.02991784,-0.005132114,0.9993181
2023-08-03 17:31,0.02096074,0.0299571,-0.00514198,0.9993181
2023-08-03 17:31,0.02101471,0.02997385,-0.005144869,0.9993165
2023-08-03 17:31,0.02100025,0.02993645,-0.005101957,0.9993182
2023-08-03 17:31,0.02106159,0.02996879,-0.005070075,0.9993161
2023-08-03 17:31,0.02097853,0.03000724,-0.005131585,0.9993163
2023-08-03 17:32,0.02097571,0.02995484,-0.005102555,0.9993181
2023-08-03 17:32,0.02101886,0.02992865,-0.005093055,0.9993181
2023-08-03 17:32,0.02099808,0.02987606,-0.00507206,0.9993201
2023-08-03 17:32,0.02102291,0.02998362,-0.005172096,0.999316
2023-08-03 17:32,0.02105679,0.02992913,-0.00510298,0.9993172
2023-08-03 17:32,0.02100533,0.02998807,-0.00511827,0.9993164
2023-08-03 17:33,0.0209777,0.02997606,-0.005126229,0.9993173
2023-08-03 17:33,0.02099813,0.0299548,-0.005174679,0.9993173
2023-08-03 17:33,0.02097177,0.02999004,-0.005119807,0.999317
