Computer_Time,Seconds,X_axis,Y_axis,Z_axis,delta_X,delta_Y,delta_Z,XfO,YfO,ZfO,Computer_Time,Seconds,X_axis,Y_axis,Z_axis,delta_X,delta_Y,delta_Z,XfO,YfO,ZfO,Computer_Time,Seconds,X_axis,Y_axis,Z_axis,delta_X,delta_Y,delta_Z,XfO,YfO,ZfO,Computer_Time,Seconds,X_axis,Y_axis,Z_axis,delta_X,delta_Y,delta_Z,XfO,YfO,ZfO,Computer_Time,Seconds,X_axis,Y_axis,Z_axis,delta_X,delta_Y,delta_Z,XfO,YfO,ZfO,Computer_Time,Seconds,X_axis,Y_axis,Z_axis,delta_X,delta_Y,delta_Z,XfO,YfO,ZfO,Computer_Time,Seconds,X_axis,Y_axis,Z_axis,delta_X,delta_Y,delta_Z,XfO,YfO,ZfO
2023-08-11 22:15,11,5.64608,357.5873,359.1684,0.006203651,-0.1528015,-0.004241943,66.3283,-353.631223,-4.8353,2023-08-11 22:35,11,8.669975,351.9716,359.5028,0.008010864,-0.1512756,-0.003112793,318.967525,-132.0383,-168.5442,2023-08-11 22:47,11,9.121889,10.33579,359.3205,0.1113977,-0.2765675,-0.04016113,274.796111,31.85908,-326.35032,2023-08-11 22:58,11,8.624344,352.0582,359.4846,0.006279945,-0.1469421,-0.0050354,263.277656,-129.4393,-136.87,2023-08-11 23:09,11,8.616012,19.73185,359.4838,0.007796288,-0.1528893,-0.000915527,272.094288,27.69871,-332.34187,2023-08-11 23:20,11,8.942681,14.6429,359.3627,0.014328,-0.2159672,-0.007904053,264.892919,33.3125,-330.12393,2023-08-11 23:32,11,8.602615,3.312269,359.4832,0.005797386,-0.1503546,-0.000854492,278.699585,27.915001,-328.75795
2023-08-11 22:15,12,5.616028,357.4526,359.1753,-0.03005219,-0.1346741,0.006835938,66.358352,-353.496523,-4.8422,2023-08-11 22:35,12,8.645051,351.8385,359.5085,-0.02492428,-0.1330261,0.005645752,318.992449,-131.9052,-168.5499,2023-08-11 22:47,12,9.133575,10.08227,359.3156,0.01168633,-0.253521,-0.004852295,274.784425,32.1126,-326.34542,2023-08-11 22:58,12,8.600343,351.9243,359.4944,-0.02400112,-0.1339111,0.009857178,263.301657,-129.3054,-136.8798,2023-08-11 23:09,12,8.584244,19.60019,359.4926,-0.03176785,-0.1316624,0.008850098,272.126056,27.83037,-332.35067,2023-08-11 23:20,12,8.903276,14.45035,359.3762,-0.03940487,-0.1925468,0.01348877,264.932324,33.50505,-330.13743,2023-08-11 23:32,12,8.570686,3.18128,359.4925,-0.03192902,-0.1309898,0.009216309,278.731514,28.04599,-328.76725
2023-08-11 22:15,13,5.567566,357.3335,359.1891,-0.04846191,-0.1191101,0.01382446,66.406814,-353.377423,-4.856,2023-08-11 22:35,13,8.598679,351.7197,359.5256,-0.04637241,-0.118866,0.0171814,319.038821,-131.7864,-168.567,2023-08-11 22:47,13,9.077737,9.860322,359.3333,-0.05583858,-0.2219458,0.0177002,274.840263,32.334548,-326.36312,2023-08-11 22:58,13,8.548264,351.8047,359.5092,-0.0520792,-0.1196289,0.01480103,263.353736,-129.1858,-136.8946,2023-08-11 23:09,13,8.539352,19.4798,359.5086,-0.04489136,-0.1203823,0.01593018,272.170948,27.95076,-332.36667,2023-08-11 23:20,13,8.833673,14.27894,359.4035,-0.06960392,-0.1714144,0.02731323,265.001927,33.67646,-330.16473,2023-08-11 23:32,13,8.522186,3.067714,359.5097,-0.04850006,-0.1135654,0.01721191,278.780014,28.159556,-328.78445
2023-08-11 22:15,14,5.511116,357.2246,359.2054,-0.05644989,-0.1089172,0.01629639,66.463264,-353.268523,-4.8723,2023-08-11 22:35,14,8.542336,351.6134,359.5431,-0.05634308,-0.1062622,0.01745605,319.095164,-131.6801,-168.5845,2023-08-11 22:47,14,8.99552,9.66487,359.3597,-0.08221722,-0.1954517,0.02636719,274.92248,32.53,-326.38952,2023-08-11 22:58,14,8.493523,351.6999,359.5295,-0.05474091,-0.1047974,0.02032471,263.408477,-129.081,-136.9149,2023-08-11 23:09,14,8.483445,19.37686,359.5265,-0.05590725,-0.1029472,0.01791382,272.226855,28.0537,-332.38457,2023-08-11 23:20,14,8.753092,14.13054,359.4304,-0.08058071,-0.1483984,0.02685547,265.082508,33.82486,-330.19163,2023-08-11 23:32,14,8.467033,2.964248,359.5273,-0.05515289,-0.1034658,0.01757813,278.835167,28.263022,-328.80205
2023-08-11 22:15,15,5.453064,357.1314,359.2252,-0.05805159,-0.0932312,0.01980591,66.521316,-353.175323,-4.8921,2023-08-11 22:35,15,8.48343,351.5206,359.5622,-0.0589056,-0.09277344,0.01907349,319.15407,-131.5873,-168.6036,2023-08-11 22:47,15,8.904626,9.490766,359.3898,-0.09089375,-0.1741047,0.03005981,275.013374,32.704104,-326.41962,2023-08-11 22:58,15,8.433816,351.6049,359.5489,-0.05970669,-0.09503174,0.01937866,263.468184,-128.986,-136.9343,2023-08-11 23:09,15,8.427452,19.2888,359.5434,-0.05599308,-0.08806038,0.01690674,272.282848,28.14176,-332.40147,2023-08-11 23:20,15,8.66784,14.00028,359.4568,-0.08525181,-0.1302576,0.02642822,265.16776,33.95512,-330.21803,2023-08-11 23:32,15,8.411423,2.875526,359.5464,-0.05561066,-0.08872271,0.019104,278.890777,28.351744,-328.82115
2023-08-11 22:15,16,5.396477,357.0467,359.2402,-0.0565877,-0.08465576,0.01501465,66.577903,-353.090623,-4.9071,2023-08-11 22:35,16,8.426888,351.4381,359.5811,-0.0565424,-0.08251953,0.01898193,319.210612,-131.5048,-168.6225,2023-08-11 22:47,16,8.810081,9.341033,359.4238,-0.09454441,-0.1497326,0.0340271,275.107919,32.853837,-326.45362,2023-08-11 22:58,16,8.375877,351.5255,359.5689,-0.05793858,-0.07940674,0.01998901,263.526123,-128.9066,-136.9543,2023-08-11 23:09,16,8.366446,19.20637,359.5642,-0.06100559,-0.08242226,0.02084351,272.343854,28.22419,-332.42227,2023-08-11 23:20,16,8.588792,13.88391,359.4862,-0.07904816,-0.1163702,0.02935791,265.246808,34.07149,-330.24743,2023-08-11 23:32,16,8.36213,2.796976,359.5628,-0.04929256,-0.07854962,0.01647949,278.94007,28.430294,-328.83755
2023-08-11 22:15,17,5.345696,356.9749,359.2572,-0.05078077,-0.07180786,0.01702881,66.628684,-353.018823,-4.9241,2023-08-11 22:35,17,8.376259,351.3685,359.5987,-0.05062866,-0.06958008,0.01751709,319.261241,-131.4352,-168.6401,2023-08-11 22:47,17,8.71692,9.207051,359.4586,-0.09316158,-0.1339817,0.03482056,275.20108,32.987819,-326.48842,2023-08-11 22:58,17,8.323225,351.4534,359.586,-0.05265236,-0.07208252,0.01705933,263.578775,-128.8345,-136.9714,2023-08-11 23:09,17,8.316132,19.13705,359.58,-0.0503149,-0.0693264,0.01574707,272.394168,28.29351,-332.43807,2023-08-11 23:20,17,8.511804,13.78143,359.5144,-0.07698822,-0.1024809,0.02819824,265.323796,34.17397,-330.27563,2023-08-11 23:32,17,8.311219,2.726075,359.5779,-0.05091095,-0.07090139,0.0151062,278.990981,28.501195,-328.85265
2023-08-11 22:15,18,5.301163,356.9099,359.2746,-0.04453278,-0.06500244,0.01733398,66.673217,-352.953823,-4.9415,2023-08-11 22:35,18,8.32799,351.3046,359.6151,-0.04826927,-0.06390381,0.01638794,319.30951,-131.3713,-168.6565,2023-08-11 22:47,18,8.633508,9.087837,359.4929,-0.08341217,-0.1192141,0.03430176,275.284492,33.107033,-326.52272,2023-08-11 22:58,18,8.273078,351.3903,359.6036,-0.05014706,-0.06304932,0.01763916,263.628922,-128.7714,-136.989,2023-08-11 23:09,18,8.269081,19.07348,359.5991,-0.04705048,-0.0635643,0.01913452,272.441219,28.35708,-332.45717,2023-08-11 23:20,18,8.438782,13.68937,359.5399,-0.07302189,-0.09205914,0.0255127,265.396818,34.26603,-330.30113,2023-08-11 23:32,18,8.262115,2.662335,359.5939,-0.04910374,-0.06374002,0.01596069,279.040085,28.564935,-328.86865
2023-08-11 22:15,19,5.254639,356.8547,359.2875,-0.04652452,-0.05523682,0.01296997,66.719741,-352.898623,-4.9544,2023-08-11 22:35,19,8.284538,351.2484,359.6267,-0.04345131,-0.05621338,0.01165771,319.352962,-131.3151,-168.6681,2023-08-11 22:47,19,8.555305,8.984656,359.5214,-0.07820225,-0.1031809,0.02844238,275.362695,33.210214,-326.55122,2023-08-11 22:58,19,8.235725,351.3333,359.6173,-0.03735256,-0.05706787,0.01370239,263.666275,-128.7144,-137.0027,2023-08-11 23:09,19,8.226151,19.01659,359.6134,-0.04292965,-0.0568943,0.01425171,272.484149,28.41397,-332.47147,2023-08-11 23:20,19,8.378205,13.60704,359.5611,-0.06057644,-0.08232975,0.02124023,265.457395,34.34836,-330.32233,2023-08-11 23:32,19,8.218087,2.608367,359.607,-0.04402828,-0.05396748,0.01309204,279.084113,28.618903,-328.88175
2023-08-11 22:15,20,5.214821,356.8022,359.2965,-0.03981733,-0.05245972,0.00894165,66.759559,-352.846123,-4.9634,2023-08-11 22:35,20,8.24823,351.1994,359.6402,-0.03630829,-0.04904175,0.01348877,319.38927,-131.2661,-168.6816,2023-08-11 22:47,20,8.482553,8.892349,359.5437,-0.07275295,-0.09230709,0.02233887,275.435447,33.302521,-326.57352,2023-08-11 22:58,20,8.197747,351.2819,359.6278,-0.03797817,-0.0513916,0.01046753,263.704253,-128.663,-137.0132,2023-08-11 23:09,20,8.185921,18.96808,359.6263,-0.04023075,-0.04851151,0.01296997,272.524379,28.46248,-332.48437,2023-08-11 23:20,20,8.320559,13.5376,359.5802,-0.05764675,-0.06944561,0.01907349,265.515041,34.4178,-330.34143,2023-08-11 23:32,20,8.177995,2.56329,359.6187,-0.04009247,-0.04507685,0.01168823,279.124205,28.66398,-328.89345
